Block,Group,Peak,AUDPC
1,1,0,0
2,1,0,0
3,1,0,0
4,1,0,0
1,2,0,0
2,2,0,0
3,2,0,0
4,2,0,0
1,3,0,0
2,3,0,0
3,3,0,0
4,3,0,0
1,4,0,0
2,4,0,0
3,4,0,0
4,4,0,0
1,5,0,0
2,5,0,0
3,5,0,0
4,5,0,0
1,6,0,0
2,6,0,0
3,6,0,0
4,6,0,0
1,7,0.5,36.5
2,7,0,0
3,7,5,264.5
4,7,1.5,81
1,8,0,0
2,8,1,73
3,8,2,147.5
4,8,0.5,36.5
1,9,1,44.5
2,9,0.5,7.25
3,9,0,0
4,9,1,14.5
1,10,3,132
2,10,0,0
3,10,1.5,66.75
4,10,0,0
1,11,0,0
2,11,0,0
3,11,0,0
4,11,1,58.75
1,12,7,381.25
2,12,0.5,22.25
3,12,4.5,241.5
4,12,3,175.5
1,13,0,0
2,13,2,88.25
3,13,5,350.5
4,13,1.5,95.25
1,14,3.5,184.25
2,14,1,29.5
3,14,10,424.75
4,14,13.5,520.5
1,15,0,0
2,15,0,0
3,15,0,0
4,15,0,0
1,16,35.5,1580.5
2,16,24.5,817.25
3,16,67,3279.25
4,16,71.5,3413.5
