Block,Trt,Month,Percent,month,vgrp
1,1,Nov,97.5,1,1
2,1,Nov,97.1,1,1
3,1,Nov,97.4,1,1
4,1,Nov,97,1,1
1,2,Nov,97.3,1,2
2,2,Nov,98,1,2
3,2,Nov,96.9,1,2
4,2,Nov,97.2,1,2
1,3,Nov,96.7,1,2
2,3,Nov,95.6,1,2
3,3,Nov,96.2,1,2
4,3,Nov,96,1,2
1,1,Dec,98.9,2,1
2,1,Dec,98.9,2,1
3,1,Dec,98.4,2,1
4,1,Dec,97.9,2,1
1,2,Dec,98.9,2,2
2,2,Dec,99,2,2
3,2,Dec,98.8,2,2
4,2,Dec,98.6,2,2
1,3,Dec,98.4,2,2
2,3,Dec,98.4,2,2
3,3,Dec,98,2,2
4,3,Dec,98.4,2,2
1,1,Jan,93.4,3,1
2,1,Jan,93.5,3,1
3,1,Jan,90.2,3,1
4,1,Jan,91.3,3,1
1,2,Jan,97.9,3,2
2,2,Jan,98.2,3,2
3,2,Jan,98.3,3,2
4,2,Jan,98.2,3,2
1,3,Jan,96.1,3,2
2,3,Jan,96.3,3,2
3,3,Jan,95.7,3,2
4,3,Jan,96.6,3,2
1,1,Feb,98.5,4,1
2,1,Feb,98.3,4,1
3,1,Feb,98,4,1
4,1,Feb,98.1,4,1
1,2,Feb,98.1,4,2
2,2,Feb,98.5,4,2
3,2,Feb,98.5,4,2
4,2,Feb,98.3,4,2
1,3,Feb,97.9,4,2
2,3,Feb,97.3,4,2
3,3,Feb,95.8,4,2
4,3,Feb,97.4,4,2
